"","Year","Site_ID","Plant_gen_sp","plant_id","Fruit_Yes","Fruit_No","Fruit_preyed","Fruit_dispersed","fruit_formado","fruit_total","fruit_proportion","Seeds","Seed_weight","richness","Flower_abundance","Frequency","freq_minute","visitatio_rate","visitation_rate_minute"
"50",2018,"Aznalcazar","Lavandula pedunculata","A",58,59,7,0,65,124,0.524193548387097,2,0.0012,2,266.666666666667,26,8.66666666666667,0.0975,0.0325
"51",2018,"Aznalcazar","Lavandula pedunculata","B",79,35,2,0,81,116,0.698275862068966,2.33333333333333,0.00119333333333333,3,246.666666666667,15,5,0.0608108108108108,0.0202702702702703
"52",2018,"Aznalcazar","Lavandula pedunculata","C",91,21,5,0,96,117,0.82051282051282,3,0.00152333333333333,2,200,15,5,0.075,0.025
"53",2018,"Aznalcazar","Lavandula pedunculata","D",94,29,0,0,94,123,0.764227642276423,1.66666666666667,0.00108333333333333,3,437.5,62,20.6666666666667,0.141714285714286,0.0472380952380952
"54",2019,"Aznalcazar","Lavandula pedunculata","A",136,14,0,0,136,150,0.906666666666667,1.66666666666667,0.00107666666666667,2,237.5,13,4.33333333333333,0.0547368421052632,0.0182456140350877
"55",2019,"Aznalcazar","Lavandula pedunculata","B",124,13,0,0,124,137,0.905109489051095,1.66666666666667,0.00113,2,290,45,15,0.155172413793103,0.0517241379310345
"56",2019,"Aznalcazar","Lavandula pedunculata","C",115,29,0,0,115,144,0.798611111111111,1.66666666666667,0.00117666666666667,3,188,36,12,0.191489361702128,0.0638297872340425
"57",2017,"Aznalcazar","Lavandula stoechas","B",93,33,2,0,95,128,0.7421875,2.33333333333333,0.000226666666666667,2,50,10,3.33333333333333,0.2,0.0666666666666667
"58",2017,"Aznalcazar","Salvia rosmarinus","B",0,41,0,0,0,41,0,3,0.000436666666666667,2,200,169,56.3333333333333,0.845,0.281666666666667
"59",2017,"Aznalcazar","Salvia rosmarinus","C",0,46,0,0,0,46,0,3,6e-04,1,150,16,5.33333333333333,0.106666666666667,0.0355555555555556
"60",2017,"Aznalcazar","Teucrium fruticans","A",0,4,0,6,6,10,0.6,6,0.00261,2,32.2,6,2,0.186335403726708,0.062111801242236
"61",2017,"Aznalcazar","Teucrium fruticans","C",19,12,7,0,26,38,0.684210526315789,1,0.00272,3,46.4,52,17.3333333333333,1.12068965517241,0.373563218390805
"62",2018,"Aznalcazar","Teucrium fruticans","A",2,5,6,0,8,13,0.615384615384615,4,0.00317,4,140.142857142857,78,26,0.556574923547401,0.1855249745158
"63",2018,"Aznalcazar","Teucrium fruticans","B",1,1,4,0,5,6,0.833333333333333,4,0.00141,4,35.5,51,17,1.43661971830986,0.47887323943662
"64",2018,"Aznalcazar","Teucrium fruticans","C",6,2,2,0,8,10,0.8,3.5,0.003015,5,51.4285714285714,65,21.6666666666667,1.26388888888889,0.421296296296296
"65",2018,"Aznalcazar","Teucrium fruticans","D",6,2,5,0,11,13,0.846153846153846,2.66666666666667,0.00226333333333333,1,32,19,6.33333333333333,0.59375,0.197916666666667
"66",2019,"Aznalcazar","Teucrium fruticans","A",1,5,0,4,5,10,0.5,2,0.00413,2,26.6666666666667,24,8,0.9,0.3
"67",2019,"Aznalcazar","Teucrium fruticans","B",5,0,0,4,9,9,1,2.66666666666667,0.00813333333333333,4,29.3333333333333,35,11.6666666666667,1.19318181818182,0.397727272727273
"68",2019,"Aznalcazar","Teucrium fruticans","C",11,0,0,5,16,16,1,3,0.00595666666666667,6,31.3333333333333,26,8.66666666666667,0.829787234042553,0.276595744680851
"69",2018,"Bonares","Cistus crispus","A",10,1,0,0,10,11,0.909090909090909,42.3333333333333,0.0202533333333333,3,20.5,25,8.33333333333333,1.21951219512195,0.40650406504065
"70",2018,"Bonares","Cistus crispus","B",2,0,3,0,5,5,1,29,0.01384,3,22.5,23,7.66666666666667,1.02222222222222,0.340740740740741
"71",2018,"Bonares","Cistus crispus","C",4,0,0,0,4,4,1,36,0.0199166666666667,3,21.75,13,4.33333333333333,0.597701149425287,0.199233716475096
"72",2018,"Bonares","Cistus crispus","D",6,0,0,0,6,6,1,47.6666666666667,0.0251833333333333,1,22,2,0.666666666666667,0.0909090909090909,0.0303030303030303
