"","Plant_gen_sp","Site_ID","cv_1_fruit","cv_1_seed","cv_1_visitation","log_VR_time","log_VR_effort","syncLM_time","syncLM_effort","av_sync_time","av_sync_effort","S_total"
"21","Cistus salviifolius","Convento_de_la_luz",Inf,1.97397572898307,1.01319763413567,0.677398823591806,NA,0.346383398203643,NA,-0.917065727441139,NA,6
"22","Cistus salviifolius","El_pozo",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"23","Cistus salviifolius","Esparragal",10.8333333333333,1.76467160280848,2.49812252269074,0.884819315051765,-0.383453948006813,0.221801440558402,0.0732277606546923,0.419143070704019,-0.0244354743230462,13
"24","Cistus salviifolius","La_cunya",120.66620626063,1.47356591341276,1.22588689901425,1.32840038270099,-0.529007942849181,0.407606597328908,0.0863737040877015,0.602595324259875,0.127200449359449,10
"25","Cistus salviifolius","Pinares_de_hinojos",25.9807621135331,5.10846016153302,1.50432899259609,0.910391009746967,0.123613955967177,0.437874263953308,0.254437869822485,-0.489712350297509,-0.783816605350508,6
"26","Cistus salviifolius","Pino_del_cuervo",7.77817459305201,1.28043660377023,28.9913780286483,-0.185717145795093,-1.68175857401373,0.289940828402367,0.0625,0.538461538461538,-1,3
"27","Cistus salviifolius","Urbanizaciones",15.5,11.2971892027039,1.84829773235561,0.265448193778539,0.14643004206603,0.224444423093219,0.20030315249309,0.267398382208968,0.23424083055644,7
"28","Cistus salviifolius","Villamanrique_este",4.61880215351701,5.97481091981067,2.76912230051082,0.249998638617386,0.249998638617386,0.200622515573282,0.200622515573282,0.551946822266372,0.551946822266372,8
"29","Cistus salviifolius","Villamanrique_sur",NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"30","Halimium halimifolium","Bonares",8.43088854491653,2.78770369755744,2.55613616671356,0.510825623765991,1.17118298150294,0.206611570247934,0.390625,NA,0.7,10
"31","Halimium halimifolium","Convento_de_la_luz",7.13843361040792,2.48919327320875,0.911989851250632,1.69585914482118,NA,0.591303714759676,NA,0.514641539807931,NA,14
"32","Halimium halimifolium","El_pozo",4.3840620433566,55.8614357137427,0.707106781186547,1.18377009700842,NA,1,NA,0.4,NA,4
"33","Halimium halimifolium","Esparragal",3.95093222807631,17.7275019095154,3.28669311094209,0.473256221345478,0.260198355022115,0.492617711179923,0.368370432482312,0.788532364000199,0.732033249585572,10
"34","Halimium halimifolium","La_rocina",NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"35","Halimium halimifolium","Pinares_de_hinojos",2.62590063258965,9.76071697021053,2.64786849701417,1.46633706879343,0.945642943886683,0.751111111111111,0.418685121107266,0.866666666666667,0.647058823529412,9
"36","Halimium halimifolium","Pino_del_cuervo",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"37","Halimium halimifolium","Urbanizaciones",18.3847763108502,1.51203465858467,1.79628029352018,-0.628608659422374,-2.84620053958303,0.0816326530612245,0.00826446280991736,0.285714285714286,-0.878787878787879,8
"38","Lavandula pedunculata","Aznalcazar",6.16687486954013,6.73418418527605,1.31520729404514,0.742186865537305,0.275885032749342,0.454910045139045,0.238089196072133,0.679071985313368,0.383973626483489,9
"39","Lavandula pedunculata","Bonares",NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"40","Lavandula pedunculata","Convento_de_la_luz",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"41","Lavandula pedunculata","El_pozo",NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"42","Lavandula pedunculata","Esparragal",31.9771839764287,3.76800736824064,0.977625847315301,-0.485507815781701,-0.485507815781701,0.444444444444444,0.444444444444444,NA,-0.875,2
"43","Lavandula pedunculata","La_cunya",25.164366709249,6.17822161222196,1.33415001266174,0.488318590979941,0.480992750821331,0.809872346369871,0.683406989843245,0.92413855607807,0.830734648314776,3
"44","Lavandula pedunculata","La_rocina",NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"45","Lavandula pedunculata","Niebla",68.6602508383812,20.7306995724188,2.74160598611815,0.826422742372515,0.837079971004011,0.177534793150394,0.167691023253277,0.482052697713639,0.489154948974497,16
"46","Lavandula pedunculata","Urbanizaciones",17.8374115597551,6.58929134801396,2.08454172594128,-0.309304536464947,-0.405007756167881,0.130040903203403,0.130016722411929,0.0888359228184583,0.0810356217094065,8
"47","Lavandula pedunculata","Villamanrique_sur",NA,NA,NA,NA,NA,NA,NA,NA,NA,2
