"","Year","Site_ID","Plant_sp","plant_id","richness08","richness","Coleop_freq","Coleop_visit","Dip_freq","Dip_visit","Hym_freq","Hym_visit","flower_abundance","Frequency","visitatio_rate","Fruit_proportion","Fruit_Yes","Fruit_No","Fruit_Total","Seeds","Seed_weight"
"50",2016,"Aznalcazar","Lavandula pedunculata","B",0,0,0,0,0,0,0,0,0,0,0,1,81,0,81,1,0.000604
"51",2017,"Aznalcazar","Lavandula pedunculata","A",2,2,0,0,0,0,6,0.15,40,6,0.15,0.557482394366197,125,97,222,1,0.000578333333333333
"52",2017,"Aznalcazar","Lavandula pedunculata","B",0,0,0,0,0,0,0,0,0,0,0,0.811196379378198,200,47,247,1,0.000499375
"53",2018,"Aznalcazar","Lavandula pedunculata","A",2,2,0,0,0,0,26,0.0325,800,26,0.0325,0.495726495726496,58,59,117,2,0.0012
"54",2018,"Aznalcazar","Lavandula pedunculata","B",3,3,0,0,3,0.00405405405405405,12,0.0162162162162162,740,15,0.0202702702702703,0.692982456140351,79,35,114,2.33333333333333,0.00119333333333333
"55",2018,"Aznalcazar","Lavandula pedunculata","C",2,2,0,0,0,0,15,0.0375,400,15,0.0375,0.8125,91,21,112,3,0.00152333333333333
"56",2018,"Aznalcazar","Lavandula pedunculata","D",3,3,0,0,0,0,62,0.0354285714285714,1750,62,0.0354285714285714,0.764227642276423,94,29,123,1.66666666666667,0.00108333333333333
"57",2015,"Aznalcazar","Lavandula stoechas","A",2,2,0,0,0,0,2,0.0476190476190476,42,2,0.0476190476190476,0,0,0,0,0,0
"58",2015,"Aznalcazar","Lavandula stoechas","B",2,2,0,0,0,0,2,0.025,80,2,0.025,0,0,0,0,0,0
"59",2015,"Aznalcazar","Lavandula stoechas","C",2,2,0,0,0,0,4,0.0533333333333333,75,4,0.0533333333333333,0,0,0,0,0,0
"60",2017,"Aznalcazar","Lavandula stoechas","B",2,2,0,0,0,0,10,0.1,100,10,0.1,0,0,0,0,0,0
"61",2016,"Aznalcazar","Rosmarinus officinalis","A",1,1,0,0,0,0,1,0.25,4,1,0.25,0,0,0,0,0,0
"62",2016,"Aznalcazar","Rosmarinus officinalis","B",2,2,0,0,0,0,8,0.02,400,8,0.02,0,0,0,0,0,0
"63",2017,"Aznalcazar","Rosmarinus officinalis","A",1,1,0,0,0,0,41,0.0745454545454545,550,41,0.0745454545454545,0,0,20,20,0,0
"64",2017,"Aznalcazar","Rosmarinus officinalis","B",2,2,0,0,1,0.00125,168,0.21,800,169,0.21125,0,0,41,41,1,0.000488888888888889
"65",2017,"Aznalcazar","Rosmarinus officinalis","C",1,1,0,0,0,0,16,0.106666666666667,150,16,0.106666666666667,0,0,46,46,1,0.000493333333333333
"66",2018,"Aznalcazar","Rosmarinus officinalis","A",1,1,0,0,0,0,36,0.0553846153846154,650,36,0.0553846153846154,0,0,0,0,0,0
"67",2018,"Aznalcazar","Rosmarinus officinalis","B",2,2,0,0,0,0,92,0.0702290076335878,1310,92,0.0702290076335878,0,0,0,0,0,0
"68",2018,"Aznalcazar","Rosmarinus officinalis","C",2,2,0,0,2,0.00253164556962025,52,0.0658227848101266,790,54,0.0683544303797468,0,0,0,0,0,0
"69",2018,"Aznalcazar","Rosmarinus officinalis","D",1,1,0,0,0,0,75,0.09375,800,75,0.09375,0,0,0,0,0,0
"70",2018,"Aznalcazar","Rosmarinus officinalis","E",2,2,0,0,0,0,37,0.105714285714286,350,37,0.105714285714286,0,0,0,0,0,0
"71",2015,"Bonares","Cistus crispus","A",0,0,0,0,0,0,0,0,0,0,0,0.590151515151515,17,12,29,27,0.015318
"72",2015,"Bonares","Cistus crispus","B",0,0,0,0,0,0,0,0,0,0,0,0.555555555555556,9,7,16,25.375,0.00688875
"73",2016,"Bonares","Cistus crispus","A",0,0,0,0,0,0,0,0,0,0,0,0.8,8,2,10,27.3333333333333,0.0147466666666667
"74",2016,"Bonares","Cistus crispus","B",0,0,0,0,0,0,0,0,0,0,0,0.428571428571429,3,4,7,22.6666666666667,0.01291
"75",2017,"Bonares","Cistus crispus","A",0,0,0,0,0,0,0,0,0,0,0,0.5,2,2,4,13,0.00899
"76",2017,"Bonares","Cistus crispus","B",0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
"77",2018,"Bonares","Cistus crispus","A",3,3,0,0,0,0,25,0.304878048780488,82,25,0.304878048780488,0.909090909090909,10,1,11,42.3333333333333,0.0202533333333333
"78",2018,"Bonares","Cistus crispus","B",3,3,1,0.00740740740740741,0,0,22,0.162962962962963,135,23,0.17037037037037,1,2,0,2,29,0.01384
"79",2018,"Bonares","Cistus crispus","C",3,3,0,0,0,0,13,0.149425287356322,87,13,0.149425287356322,1,4,0,4,36,0.0199166666666667
"80",2018,"Bonares","Cistus crispus","D",1,1,0,0,0,0,2,0.0909090909090909,22,2,0.0909090909090909,1,6,0,6,47.6666666666667,0.0251833333333333
"81",2015,"Bonares","Cistus ladanifer","A",2,2,0,0,0,0,2,0.0666666666666667,30,2,0.0666666666666667,0.888888888888889,7,1,8,287.666666666667,0.0795266666666667
"82",2015,"Bonares","Cistus ladanifer","B",1,1,0,0,0,0,1,0.0833333333333333,12,1,0.0833333333333333,1,11,0,11,213,0.050955
"83",2015,"Bonares","Cistus ladanifer","C",1,1,0,0,0,0,3,0.272727272727273,11,3,0.272727272727273,1,4,0,4,269.666666666667,0.06537
"84",2015,"Bonares","Cistus ladanifer","D",0,0,0,0,0,0,0,0,0,0,0,1,11,0,11,267.5,0.070365
"85",2016,"Bonares","Cistus ladanifer","A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0.01848
"86",2017,"Bonares","Cistus ladanifer","A",0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,494.333333333333,0.11553
"87",2017,"Bonares","Cistus ladanifer","B",0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,519.5,0.16719
"88",2018,"Bonares","Cistus ladanifer","A",1,1,2,0.166666666666667,0,0,0,0,12,2,0.166666666666667,1,2,0,2,499.5,0.1312
"89",2018,"Bonares","Cistus ladanifer","B",2,2,3,0.5,0,0,3,0.5,6,6,1,1,2,0,2,515,0.13741
"90",2018,"Bonares","Cistus ladanifer","C",1,1,15,3.75,0,0,0,0,4,15,3.75,1,1,0,1,505,0.134285
"91",2018,"Bonares","Cistus ladanifer","D",0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,454,0.128155
"92",2015,"Bonares","Cistus salviifolius","A",2,2,0,0,1,0.0151515151515152,2,0.0303030303030303,66,3,0.0454545454545455,0.925925925925926,11,2,13,60,0.0720366666666667
"93",2015,"Bonares","Cistus salviifolius","B",2,2,0,0,0,0,3,0.0337078651685393,89,3,0.0337078651685393,0.761904761904762,9,5,14,40.6,0.033884
"94",2015,"Bonares","Cistus salviifolius","C",4,4,1,0.00490196078431373,0,0,3,0.0147058823529412,204,4,0.0196078431372549,1,7,0,7,57.6666666666667,0.0551433333333333
"95",2016,"Bonares","Cistus salviifolius","A",0,1,0,0,0,0,1,0.1,10,1,0.1,1,1,0,1,7,0.01433
"96",2016,"Bonares","Cistus salviifolius","B",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,32,0.03795
"97",2017,"Bonares","Cistus salviifolius","A",4,4,0,0,0,0,5,0.0515463917525773,97,5,0.0515463917525773,1,6,0,6,46,0.0582533333333333
"98",2017,"Bonares","Cistus salviifolius","B",3,3,1,0.0120481927710843,1,0.0120481927710843,1,0.0120481927710843,83,3,0.036144578313253,1,3,0,3,49,0.0598733333333333
"99",2018,"Bonares","Cistus salviifolius","A",1,1,7,1.16666666666667,0,0,0,0,6,7,1.16666666666667,0,0,0,0,45,0.03135
"100",2018,"Bonares","Cistus salviifolius","B",1,1,2,0.2,0,0,0,0,10,2,0.2,1,3,0,3,54,0.05799
"101",2018,"Bonares","Cistus salviifolius","C",2,2,3,0.075,0,0,3,0.075,40,6,0.15,1,5,0,5,42.6666666666667,0.04926
"102",2018,"Bonares","Cistus salviifolius","D",1,1,0,0,0,0,4,0.266666666666667,15,4,0.266666666666667,1,2,0,2,63,0.0539766666666667
"103",2018,"Bonares","Cistus salviifolius","E",1,1,0,0,0,0,3,0.2,15,3,0.2,0,0,0,0,0,0
"104",2015,"Bonares","Halimium commutatum","A",0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0
"105",2015,"Bonares","Halimium commutatum","B",0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,2,12,14,0,0
"106",2015,"Bonares","Halimium commutatum","C",2,2,0,0,0,0,2,0.0075187969924812,266,2,0.0075187969924812,0,0,0,0,0,0
"107",2016,"Bonares","Halimium commutatum","A",2,4,1,0.0263157894736842,1,0.0263157894736842,1,0.0263157894736842,38,3,0.0789473684210526,1,2,0,2,1,0.00325666666666667
"108",2016,"Bonares","Halimium commutatum","B",1,1,2,0.105263157894737,0,0,0,0,19,2,0.105263157894737,0,0,0,0,0,0
"109",2017,"Bonares","Halimium commutatum","A",1,1,0,0,1,0.166666666666667,0,0,6,1,0.166666666666667,1,5,0,5,1,0.00545333333333333
"110",2017,"Bonares","Halimium commutatum","B",0,0,0,0,0,0,0,0,0,0,0,1,6,0,6,1.8,0.007274
"111",2018,"Bonares","Halimium commutatum","A",1,1,0,0,0,0,13,0.183098591549296,71,13,0.183098591549296,0,0,0,0,0,0
"112",2018,"Bonares","Halimium commutatum","B",4,4,0,0,3,0.029126213592233,28,0.271844660194175,103,31,0.300970873786408,0,0,0,0,0,0
"113",2018,"Bonares","Halimium commutatum","D",1,1,0,0,0,0,3,0.333333333333333,9,3,0.333333333333333,0,0,0,0,0,0
"114",2018,"Bonares","Halimium commutatum","E",1,1,0,0,0,0,23,0.511111111111111,45,23,0.511111111111111,0,0,0,0,0,0
