"","Plant_gen_sp","Site_ID","cv_1_fruit","cv_1_seed","cv_1_visitation","log_VR","syncLM","S_total"
"37","Halimium calycinum","Bonares",Inf,4.94974746830583,1.6410741837526,-2.7408400239252,0.0277777777777778,3
"38","Halimium calycinum","Esparragal",Inf,1.88265467086113,0.738720152503854,-0.0594234204708008,0.225439041794314,6
"39","Halimium calycinum","La_rocina",NA,NA,NA,NA,NA,3
"40","Halimium calycinum","Pino_del_cuervo",NA,NA,NA,NA,NA,3
"41","Halimium calycinum","Urbanizaciones",3.92598183048945,12.3590476024661,0.737838183677133,0.601635703327107,0.989346633670553,2
"42","Halimium calycinum","Villamanrique_sur",NA,NA,NA,NA,NA,4
"43","Halimium halimifolium","Bonares",8.43088854491653,2.78770369755744,2.16539550345219,-0.186018418675281,0.0937109537692628,10
"44","Halimium halimifolium","Convento_de_la_luz",7.13843361040792,2.48919327320875,0.880327722686341,1.46831562192987,0.444009761642886,14
"45","Halimium halimifolium","El_pozo",4.3840620433566,55.8614357137427,0.707106781186548,1.18377009700842,1,4
"46","Halimium halimifolium","Esparragal",3.95093222807631,17.7275019095154,2.178900642266,0.206474080592594,0.337496890172136,10
"47","Halimium halimifolium","La_rocina",NA,NA,NA,NA,NA,2
"48","Halimium halimifolium","Pinares_de_hinojos",2.62590063258965,9.76071697021053,1.21636743304098,-1.04145387482816,0.0743801652892562,9
"49","Halimium halimifolium","Pino_del_cuervo",NA,NA,NA,NA,NA,4
"50","Halimium halimifolium","Urbanizaciones",18.3847763108502,1.51203465858467,1.66855939145585,-0.0945826424859478,0.14792899408284,8
"51","Lavandula pedunculata","Aznalcazar",6.16687486954013,6.73418418527605,0.786041547654504,-0.437044599093404,0.120004802782177,9
"52","Lavandula pedunculata","Bonares",NA,NA,NA,NA,NA,2
"53","Lavandula pedunculata","Convento_de_la_luz",NA,NA,NA,NA,NA,4
"54","Lavandula pedunculata","El_pozo",NA,NA,NA,NA,NA,5
"55","Lavandula pedunculata","Esparragal",31.9771839764287,3.76800736824064,0.812470374409708,-0.161532321703934,0.740400216333153,2
"56","Lavandula pedunculata","La_cunya",25.164366709249,6.17822161222196,1.35031808253397,0.122233824873629,0.568518012501095,3
"57","Lavandula pedunculata","La_rocina",NA,NA,NA,NA,NA,7
"58","Lavandula pedunculata","Niebla",68.6602508383812,20.7306995724188,2.98078478683983,0.588618611705512,0.128111357229409,16
"59","Lavandula pedunculata","Urbanizaciones",17.8374115597551,6.58929134801396,1.55969898692643,-4.95112116656385,0.00114463338871999,8
"60","Lavandula pedunculata","Villamanrique_sur",NA,NA,NA,NA,NA,2
"61","Lavandula stoechas","Aznalcazar",NA,NA,NA,NA,NA,2
"62","Lavandula stoechas","Bonares",13.4039912175268,5.07831233761248,2.40401241945189,-1.59297663538003,0.0582639714625446,4
"63","Lavandula stoechas","Convento_de_la_luz",NA,NA,NA,NA,NA,NA
"64","Lavandula stoechas","Esparragal",NA,NA,NA,NA,NA,1
"65","Lavandula stoechas","Niebla",3.14374641648198,1.47849599702642,1.28253169518094,-1.94591014905531,0.04,4
"66","Lavandula stoechas","Pino_del_cuervo",10.9828145508319,8.83752676530024,0.838068607346817,0.898895511681582,0.586932596940787,6
"67","Lavandula stoechas","Urbanizaciones",5.65497063162905,4.74771695939535,1.70742705816592,-Inf,3.73120220895972e-18,8
"68","Lavandula stoechas","Villamanrique_sur",NA,NA,NA,NA,NA,3
"69","Salvia rosmarinus","Aznalcazar",NA,NA,NA,NA,NA,2
"70","Salvia rosmarinus","Convento_de_la_luz",NA,NA,NA,NA,NA,1
"71","Salvia rosmarinus","El_pozo",NA,NA,NA,NA,NA,2
"72","Salvia rosmarinus","La_cunya",NA,NA,NA,NA,NA,2
"73","Salvia rosmarinus","La_rocina",NA,NA,NA,NA,NA,1
"74","Salvia rosmarinus","Urbanizaciones",NA,NA,NA,NA,NA,5
"75","Salvia rosmarinus","Villamanrique_sur",NA,NA,NA,NA,NA,5
"76","Teucrium fruticans","Aznalcazar",7.66216431438587,5.73626724488687,2.30036790137968,0.257461771434136,0.212064220625149,9
"77","Teucrium fruticans","Convento_de_la_luz",41.7193000900067,4.24264068711933,1.09777351112387,0.901852529875759,0.460459183673469,7
