"","Year","Site_ID","Plant_sp","plant_id","richness08","richness","Coleop_freq","Dip_freq","Hym_freq","Frequency","Fruit_proportion","seed_number","Seed_weight"
"107",2018,"Bonares","Cistus salviifolius","E",1,1,0,0,3,3,0,0,0
"108",2015,"Bonares","Halimium commutatum","A",0,0,0,0,0,0,0,0,0
"109",2015,"Bonares","Halimium commutatum","B",0,0,0,0,0,0,0.0833333333333333,0,0
"110",2015,"Bonares","Halimium commutatum","C",2,2,0,0,2,2,0,0,0
"111",2016,"Bonares","Halimium commutatum","A",2,3,1,1,1,3,1,2,0.00325666666666667
"112",2016,"Bonares","Halimium commutatum","B",1,1,2,0,0,2,0,0,0
"113",2017,"Bonares","Halimium commutatum","A",1,1,0,1,0,1,1,1.33333333333333,0.00545333333333333
"114",2017,"Bonares","Halimium commutatum","B",0,0,0,0,0,0,1,2.2,0.007274
"115",2018,"Bonares","Halimium commutatum","A",1,1,0,0,13,13,0,0,0
"116",2018,"Bonares","Halimium commutatum","B",4,4,0,3,28,31,0,0,0
"117",2018,"Bonares","Halimium commutatum","D",1,1,0,0,3,3,0,0,0
"118",2018,"Bonares","Halimium commutatum","E",1,1,0,0,23,23,0,0,0
"119",2016,"Bonares","Halimium halimifolium","A",1,1,1,0,0,1,0,0,0
"120",2018,"Bonares","Halimium halimifolium","A",0,1,0,0,4,4,1,11.5,0.007805
"121",2018,"Bonares","Halimium halimifolium","B",2,2,1,0,6,7,0.666666666666667,15.5,0.008245
"122",2018,"Bonares","Halimium halimifolium","C",3,3,5,0,39,44,0.714285714285714,11.3333333333333,0.00528333333333333
"123",2018,"Bonares","Halimium halimifolium","D",3,3,0,1,8,9,1,8.5,0.00604
"124",2017,"Bonares","Lavandula pedunculata","A",0,0,0,0,0,0,0.732954545454545,1.71428571428571,0.000585714285714286
"125",2017,"Bonares","Lavandula pedunculata","B",0,0,0,0,0,0,0.803921568627451,1.71428571428571,0.000735714285714286
"126",2015,"Bonares","Lavandula stoechas","A",1,1,0,0,33,33,0.879205046449378,1.44444444444444,0.000637777777777778
"127",2015,"Bonares","Lavandula stoechas","B",2,2,0,0,50,50,0.798204398094175,1.91666666666667,0.000678333333333333
"128",2015,"Bonares","Lavandula stoechas","C",0,0,0,0,0,0,0.736299536568822,1.92307692307692,0.000551538461538462
"129",2016,"Bonares","Lavandula stoechas","A",2,2,0,10,5,15,0.89922480620155,2.11111111111111,0.000537777777777778
"130",2016,"Bonares","Lavandula stoechas","B",2,2,0,3,15,18,0.915094339622642,2.11111111111111,0.00045
"131",2017,"Bonares","Lavandula stoechas","A",1,1,0,0,24,24,0,0,0
"132",2017,"Bonares","Lavandula stoechas","B",2,2,0,0,21,21,0,0,0
"133",2018,"Bonares","Lavandula stoechas","A",2,2,0,12,5,17,0,0,0
"134",2015,"Convento de la Luz","Cistus crispus","A",1,1,0,0,1,1,0,0,0
"135",2017,"Convento de la Luz","Cistus crispus","A",0,0,0,0,0,0,0,27,0.0139766666666667
"136",2017,"Convento de la Luz","Cistus crispus","B",0,0,0,0,0,0,0.55,29.5,0.015565
"137",2018,"Convento de la Luz","Cistus crispus","A",1,1,0,0,8,8,0.428571428571429,42,0.0212333333333333
"138",2018,"Convento de la Luz","Cistus crispus","B",3,3,1,0,2,3,0.5,36,0.0203966666666667
"139",2018,"Convento de la Luz","Cistus crispus","C",0,0,0,0,0,0,1,34.5,0.019205
