"Site_ID","Year","Plant_genus","Plant_species","Plant_ID","Fruit_number","Seed_number","Seeds","Fruit_weight","Seed_weight","Notes","Plant_gen_sp"
"Bonares",2015,"Cistus","salviifolius","C3","b","all",81,0.15245,0.0948,NA,"Cistus salviifolius"
"Bonares",2015,"Cistus","crispus","A1","a","all",28,0.08592,0.01194,NA,"Cistus crispus"
"Bonares",2015,"Cistus","crispus","A1","b","all",31,0.0846,0.01794,NA,"Cistus crispus"
"Bonares",2015,"Cistus","crispus","A1","c",NA,0,0.02889,0,"Predado","Cistus crispus"
"Bonares",2015,"Cistus","crispus","A2","a","all",18,0.0738,0.01229,NA,"Cistus crispus"
"Bonares",2015,"Cistus","crispus","A2","b","all",28,0.07844,0.01655,NA,"Cistus crispus"
"Bonares",2015,"Cistus","crispus","A3","a","all",30,0.07636,0.01787,NA,"Cistus crispus"
"Bonares",2015,"Cistus","crispus","B1","a",NA,0,0.04585,0,"Predado","Cistus crispus"
"Bonares",2015,"Cistus","crispus","B1","b","all",27,0.0659,0.01245,NA,"Cistus crispus"
"Bonares",2015,"Cistus","crispus","B2","a","all",4,0.02763,0.00044,NA,"Cistus crispus"
"Bonares",2015,"Cistus","crispus","B2","a","all",24,NA,0.00042,NA,"Cistus crispus"
"Bonares",2015,"Cistus","crispus","B2","a","all",30,NA,0.00039,NA,"Cistus crispus"
"Bonares",2015,"Cistus","crispus","B2","a","all",32,NA,0.00046,NA,"Cistus crispus"
"Bonares",2015,"Cistus","crispus","B2","b","all",24,0.06885,0.01315,NA,"Cistus crispus"
"Bonares",2015,"Cistus","crispus","B3","a","all",30,0.0477,0.01355,NA,"Cistus crispus"
"Bonares",2015,"Cistus","crispus","B3","b","all",32,0.04815,0.01425,NA,"Cistus crispus"
"Bonares",2015,"Cistus","ladanifer","A1","a","all",386,0.2886,0.10743,NA,"Cistus ladanifer"
"Bonares",2015,"Cistus","ladanifer","A1","b","all",95,0.15866,0.02438,NA,"Cistus ladanifer"
"Bonares",2015,"Cistus","ladanifer","A2","a","all",382,0.3134,0.10677,NA,"Cistus ladanifer"
"Bonares",2015,"Cistus","ladanifer","B1","a","all",161,0.26471,0.05361,NA,"Cistus ladanifer"
"Bonares",2015,"Cistus","ladanifer","B1","b","all",210,0.36833,0.0642,NA,"Cistus ladanifer"
"Bonares",2015,"Cistus","ladanifer","B2","a","all",146,0.22336,0.0321,NA,"Cistus ladanifer"
"Bonares",2015,"Cistus","ladanifer","B3","a","all",335,0.26131,0.05391,NA,"Cistus ladanifer"
"Bonares",2015,"Cistus","ladanifer","C1","a","all",249,0.23415,0.0632,NA,"Cistus ladanifer"
"Bonares",2015,"Cistus","ladanifer","C3","a","all",220,0.24824,0.05869,NA,"Cistus ladanifer"
"Bonares",2015,"Cistus","ladanifer","C3","b","all",340,0.23587,0.07422,NA,"Cistus ladanifer"
"Bonares",2015,"Cistus","ladanifer","D1","a","all",274,0.21013,0.07233,NA,"Cistus ladanifer"
"Bonares",2015,"Cistus","ladanifer","D2","a","all",261,0.1739,0.0684,NA,"Cistus ladanifer"
"Bonares",2015,"Lavandula","stoechas","A1","a","1",1,0.00276,0.00069,"1 aborto","Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","A1","b","1",2,0.0035,0.00029,"1 aborto","Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","A1","b","2",NA,NA,0.00036,"1 aborto","Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","A2","a","1",2,0.00422,0.00079,"2 abortos","Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","A2","a","2",NA,NA,0.00082,"2 abortos","Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","A2","b","1",2,0.00391,0.00074,"1 aborto","Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","A2","b","2",NA,NA,0.00071,"1 aborto","Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","A3","a","1",2,0.00361,0.00068,"2 abortos","Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","A3","a","2",NA,NA,0.00066,"2 abortos","Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","B1","a","1",2,0.00249,0.00059,"1 aborto","Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","B1","a","2",NA,NA,0.00052,"1 aborto","Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","B1","b","1",3,0.00353,0.00069,NA,"Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","B1","b","2",NA,NA,0.00071,NA,"Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","B1","b","3",NA,NA,8e-04,NA,"Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","B2","a","1",1,0.00285,0.00069,"2 abortos","Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","B2","b","1",2,0.00428,7e-04,"2 abortos","Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","B2","b","2",NA,NA,0.00079,"2 abortos","Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","B3","a","1",4,0.06321,0.00075,NA,"Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","B3","a","2",NA,NA,0.00077,NA,"Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","B3","a","3",NA,NA,0.00051,NA,"Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","B3","a","4",NA,NA,0.00062,NA,"Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","C1","a","1",1,0.00208,0.00063,"2 abortos","Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","C1","b","1",3,0.00431,0.00071,"1 aborto","Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","C1","b","2",NA,NA,0.00073,"1 aborto","Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","C1","b","3",NA,NA,0.00061,"1 aborto","Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","C2","a","1",3,0.00429,0.00064,NA,"Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","C2","a","2",NA,NA,0.00072,NA,"Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","C2","a","3",NA,NA,0.00068,NA,"Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","C2","b","1",3,0.00375,0.00029,NA,"Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","C2","b","2",NA,NA,0.00035,NA,"Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","C2","b","3",NA,NA,0.00072,NA,"Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","C3","a","1",3,0.0039,4e-04,"1 aborto","Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","C3","a","2",NA,NA,0.00038,"1 aborto","Lavandula stoechas"
"Bonares",2015,"Lavandula","stoechas","C3","a","3",NA,NA,0.00031,"1 aborto","Lavandula stoechas"
"La_rocina",2015,"Halimium","calycinum","A1","a","1",3,0.03664,0.00355,NA,"Halimium calycinum"
"La_rocina",2015,"Halimium","calycinum","A1","a","2",NA,NA,0.00367,NA,"Halimium calycinum"
"La_rocina",2015,"Halimium","calycinum","A1","a","3",NA,NA,0.00331,NA,"Halimium calycinum"
