"Site_ID","Day","Month","Year","Plant_genus","Plant_species","Plant_ID","Notes","Fruit_Yes","Fruit_No","Fruit_preyed","Fruit_dispersed","Plant_gen_sp"
"Aznalcazar",8,5,2015,"Asphodelus","fistulosus","C1",NA,15,1,7,0,"Asphodelus fistulosus"
"Aznalcazar",8,5,2015,"Asphodelus","fistulosus","C2",NA,11,3,6,0,"Asphodelus fistulosus"
"Aznalcazar",8,5,2015,"Asphodelus","fistulosus","C3",NA,14,2,8,0,"Asphodelus fistulosus"
"Aznalcazar",8,5,2015,"Cistus","salviifolius","A1",NA,33,2,1,0,"Cistus salviifolius"
"Aznalcazar",8,5,2015,"Cistus","salviifolius","A2",NA,0,2,0,0,"Cistus salviifolius"
"Aznalcazar",8,5,2015,"Cistus","salviifolius","A3",NA,0,1,0,0,"Cistus salviifolius"
"Aznalcazar",8,5,2015,"Cistus","salviifolius","B1",NA,2,0,0,2,"Cistus salviifolius"
"Aznalcazar",8,5,2015,"Cistus","salviifolius","B2",NA,1,0,0,1,"Cistus salviifolius"
"Aznalcazar",8,5,2015,"Cistus","salviifolius","B3",NA,1,0,0,1,"Cistus salviifolius"
"Aznalcazar",8,5,2015,"Cistus","salviifolius","C1",NA,6,0,1,3,"Cistus salviifolius"
"Aznalcazar",8,5,2015,"Cistus","salviifolius","C2",NA,13,0,5,1,"Cistus salviifolius"
"Aznalcazar",8,5,2015,"Cistus","salviifolius","C3",NA,1,4,1,0,"Cistus salviifolius"
"Aznalcazar",8,5,2015,"Cistus","ladanifer","A1",NA,1,0,0,0,"Cistus ladanifer"
"Aznalcazar",8,5,2015,"Cistus","ladanifer","A2",NA,8,1,4,0,"Cistus ladanifer"
"Aznalcazar",8,5,2015,"Cistus","ladanifer","A3",NA,0,1,0,0,"Cistus ladanifer"
"Aznalcazar",8,5,2015,"Cistus","ladanifer","B1",NA,4,0,3,0,"Cistus ladanifer"
"Aznalcazar",8,5,2015,"Cistus","ladanifer","B2",NA,1,0,0,0,"Cistus ladanifer"
"Aznalcazar",8,5,2015,"Cistus","ladanifer","B3",NA,4,0,4,0,"Cistus ladanifer"
"Aznalcazar",8,5,2015,"Lavandula","pedunculata","A1",NA,86,18,0,0,"Lavandula pedunculata"
"Aznalcazar",8,5,2015,"Lavandula","pedunculata","A2","fruto perdido",0,0,0,0,"Lavandula pedunculata"
"Aznalcazar",8,5,2015,"Lavandula","pedunculata","A3","fruto perdido",0,0,0,0,"Lavandula pedunculata"
"Aznalcazar",8,5,2015,"Lavandula","pedunculata","B1","fruto perdido",0,0,0,0,"Lavandula pedunculata"
"Aznalcazar",8,5,2015,"Lavandula","pedunculata","B2",NA,20,37,0,0,"Lavandula pedunculata"
"Aznalcazar",8,5,2015,"Lavandula","pedunculata","B3","fruto perdido",0,0,0,0,"Lavandula pedunculata"
"Aznalcazar",8,5,2015,"Lavandula","pedunculata","C1",NA,108,13,0,0,"Lavandula pedunculata"
"Aznalcazar",8,5,2015,"Lavandula","pedunculata","C2",NA,30,52,0,0,"Lavandula pedunculata"
"Aznalcazar",8,5,2015,"Lavandula","pedunculata","C3","fruto perdido",0,0,0,0,"Lavandula pedunculata"
"La_cunya",19,4,2015,"Salvia","rosmarinus","A1",NA,10,7,2,0,"Salvia rosmarinus"
"La_cunya",19,4,2015,"Salvia","rosmarinus","A2",NA,10,8,2,2,"Salvia rosmarinus"
"La_cunya",19,4,2015,"Salvia","rosmarinus","A3",NA,25,12,15,3,"Salvia rosmarinus"
"La_cunya",19,4,2015,"Salvia","rosmarinus","B1",NA,9,8,3,3,"Salvia rosmarinus"
"La_cunya",19,4,2015,"Salvia","rosmarinus","B2",NA,6,11,1,0,"Salvia rosmarinus"
"La_cunya",19,4,2015,"Salvia","rosmarinus","B3",NA,11,7,0,5,"Salvia rosmarinus"
"La_cunya",27,5,2015,"Cistus","salviifolius","A1",NA,5,0,0,3,"Cistus salviifolius"
"La_cunya",27,5,2015,"Cistus","salviifolius","A2",NA,3,0,0,2,"Cistus salviifolius"
"La_cunya",27,5,2015,"Cistus","salviifolius","A3",NA,2,0,0,1,"Cistus salviifolius"
"La_cunya",27,5,2015,"Cistus","salviifolius","B1",NA,2,1,1,0,"Cistus salviifolius"
"La_cunya",27,5,2015,"Cistus","salviifolius","B2",NA,5,0,0,2,"Cistus salviifolius"
"La_cunya",27,5,2015,"Cistus","salviifolius","B3",NA,12,0,6,6,"Cistus salviifolius"
"La_cunya",27,5,2015,"Lavandula","pedunculata","A1",NA,111,36,26,0,"Lavandula pedunculata"
"La_cunya",27,5,2015,"Lavandula","pedunculata","A2",NA,73,25,18,0,"Lavandula pedunculata"
"La_cunya",27,5,2015,"Lavandula","pedunculata","A3",NA,87,32,12,0,"Lavandula pedunculata"
"La_cunya",27,5,2015,"Lavandula","pedunculata","B1",NA,105,20,0,0,"Lavandula pedunculata"
"La_cunya",27,5,2015,"Lavandula","pedunculata","B2",NA,93,32,0,0,"Lavandula pedunculata"
"La_cunya",27,5,2015,"Lavandula","pedunculata","B3","fruto perdido",0,0,0,0,"Lavandula pedunculata"
"Convento_de_la_luz",13,4,2015,"Salvia","rosmarinus","A1",NA,13,9,0,11,"Salvia rosmarinus"
"Convento_de_la_luz",13,4,2015,"Salvia","rosmarinus","A2",NA,22,1,0,22,"Salvia rosmarinus"
"Convento_de_la_luz",13,4,2015,"Salvia","rosmarinus","A3",NA,3,0,0,3,"Salvia rosmarinus"
"Convento_de_la_luz",13,4,2015,"Salvia","rosmarinus","B1",NA,32,2,0,29,"Salvia rosmarinus"
"Convento_de_la_luz",13,4,2015,"Salvia","rosmarinus","B2",NA,30,10,0,25,"Salvia rosmarinus"
"Convento_de_la_luz",13,4,2015,"Salvia","rosmarinus","B3",NA,21,1,0,18,"Salvia rosmarinus"
"Convento_de_la_luz",13,4,2015,"Salvia","rosmarinus","C1",NA,51,11,6,39,"Salvia rosmarinus"
"Convento_de_la_luz",13,4,2015,"Salvia","rosmarinus","C2",NA,54,6,0,46,"Salvia rosmarinus"
"Convento_de_la_luz",13,4,2015,"Salvia","rosmarinus","C3",NA,62,17,0,55,"Salvia rosmarinus"
"Convento_de_la_luz",28,5,2015,"Cistus","salviifolius","A1",NA,2,0,0,0,"Cistus salviifolius"
"Convento_de_la_luz",28,5,2015,"Cistus","salviifolius","A2",NA,3,0,0,0,"Cistus salviifolius"
"Convento_de_la_luz",28,5,2015,"Cistus","salviifolius","A3",NA,3,0,2,0,"Cistus salviifolius"
"Convento_de_la_luz",28,5,2015,"Cistus","salviifolius","B1",NA,1,0,1,0,"Cistus salviifolius"
"Convento_de_la_luz",28,5,2015,"Cistus","salviifolius","B2",NA,1,0,0,0,"Cistus salviifolius"
"Convento_de_la_luz",28,5,2015,"Cistus","salviifolius","B3",NA,1,0,0,0,"Cistus salviifolius"
"Convento_de_la_luz",28,5,2015,"Cistus","ladanifer","A1",NA,1,0,0,0,"Cistus ladanifer"
"Convento_de_la_luz",28,5,2015,"Cistus","ladanifer","A2","Fruto dudoso, lo guardo",1,0,0,0,"Cistus ladanifer"
"Convento_de_la_luz",28,5,2015,"Cistus","ladanifer","A3",NA,2,0,2,0,"Cistus ladanifer"
"Convento_de_la_luz",28,5,2015,"Cistus","ladanifer","B1",NA,1,2,0,0,"Cistus ladanifer"
"Convento_de_la_luz",28,5,2015,"Cistus","ladanifer","B2",NA,3,0,3,0,"Cistus ladanifer"
"Convento_de_la_luz",28,5,2015,"Cistus","ladanifer","B3",NA,0,2,0,0,"Cistus ladanifer"
"Convento_de_la_luz",28,5,2015,"Cistus","ladanifer","C1",NA,1,0,1,0,"Cistus ladanifer"
"Convento_de_la_luz",28,5,2015,"Cistus","ladanifer","C2",NA,1,0,0,0,"Cistus ladanifer"
"Convento_de_la_luz",28,5,2015,"Cistus","ladanifer","C3",NA,1,0,1,0,"Cistus ladanifer"
